"pid","trait","big5_mean_score","big5_A_group"
3621,"A",2.33333333333333,"L"
8189,"A",3.66666666666667,"H"
8460,"A",3.66666666666667,"H"
14553,"A",3.33333333333333,"H"
15032,"A",2.33333333333333,"L"
22372,"A",2.33333333333333,"L"
27038,"A",2,"L"
27165,"A",1.66666666666667,"L"
27286,"A",2.33333333333333,"L"
29197,"A",3.33333333333333,"H"
31619,"A",4,"H"
34733,"A",2.33333333333333,"L"
38200,"A",2.66666666666667,"H"
40056,"A",2.33333333333333,"L"
41502,"A",2.66666666666667,"H"
46859,"A",2,"L"
47314,"A",2.66666666666667,"H"
51611,"A",2.33333333333333,"L"
53319,"A",4,"H"
63674,"A",1.66666666666667,"L"
64352,"A",2,"L"
64951,"A",1.66666666666667,"L"
72644,"A",3,"H"
75222,"A",4,"H"
77875,"A",2.33333333333333,"L"
79380,"A",3.33333333333333,"H"
92095,"A",2,"L"
95407,"A",2.66666666666667,"H"
98812,"A",2,"L"
99065,"A",2.33333333333333,"L"
