"pid","trait","big5_mean_score","big5_E_group"
3621,"E",2.33333333333333,"H"
8189,"E",3,"H"
8460,"E",3.33333333333333,"H"
14553,"E",1,"L"
15032,"E",1.66666666666667,"L"
22372,"E",0.333333333333333,"L"
27038,"E",2.33333333333333,"H"
27165,"E",1,"L"
27286,"E",1,"L"
29197,"E",1.33333333333333,"L"
31619,"E",3,"H"
34733,"E",2.66666666666667,"H"
38200,"E",1.66666666666667,"L"
40056,"E",0.333333333333333,"L"
41502,"E",2.66666666666667,"H"
46859,"E",0.666666666666667,"L"
47314,"E",2.66666666666667,"H"
51611,"E",1,"L"
53319,"E",0.333333333333333,"L"
63674,"E",2.66666666666667,"H"
64352,"E",2.33333333333333,"H"
64951,"E",2.66666666666667,"H"
72644,"E",1.66666666666667,"L"
75222,"E",3.66666666666667,"H"
77875,"E",2,"L"
79380,"E",3.66666666666667,"H"
92095,"E",3.33333333333333,"H"
95407,"E",2,"L"
98812,"E",1.66666666666667,"L"
99065,"E",2,"L"
