"pid","trait","big5_mean_score","big5_O_group"
3621,"O",3.33333333333333,"H"
8189,"O",2,"L"
8460,"O",3,"H"
14553,"O",3.33333333333333,"H"
15032,"O",2.33333333333333,"L"
22372,"O",3.66666666666667,"H"
27038,"O",3.66666666666667,"H"
27165,"O",1.33333333333333,"L"
27286,"O",2.66666666666667,"L"
29197,"O",3.33333333333333,"H"
31619,"O",2.66666666666667,"L"
34733,"O",2,"L"
38200,"O",3.66666666666667,"H"
40056,"O",3.33333333333333,"H"
41502,"O",3.33333333333333,"H"
46859,"O",3,"H"
47314,"O",3.66666666666667,"H"
51611,"O",1.33333333333333,"L"
53319,"O",0.333333333333333,"L"
63674,"O",1.66666666666667,"L"
64352,"O",3,"H"
64951,"O",2,"L"
72644,"O",3.33333333333333,"H"
75222,"O",2.66666666666667,"L"
77875,"O",4,"H"
79380,"O",3,"H"
92095,"O",3.66666666666667,"H"
95407,"O",2.66666666666667,"L"
98812,"O",2.66666666666667,"L"
99065,"O",2.66666666666667,"L"
