"pid","mean_acc","mean_rt","crt_group","Correct","Intuitive","Other"
3621,0.666666666666667,30.3246758333408,"H",4,2,0
8189,0.5,20.7656574999999,"L",3,3,0
8460,0.666666666666667,31.1568383333506,"H",4,2,0
14553,0.833333333333333,22.4189891666683,"H",5,0,1
15032,1,7.068,"H",3,0,0
22372,0.333333333333333,27.4607891666625,"L",2,3,1
27038,0.166666666666667,33.8152541666667,"L",1,5,0
27165,0.666666666666667,25.8591741666508,"H",4,2,0
27286,0.666666666666667,60.9272983333333,"H",4,0,2
29197,0.166666666666667,18.4581666666667,"L",1,5,0
31619,0.833333333333333,32.0067958333142,"H",5,0,1
34733,0.5,23.2344225000076,"L",3,2,1
38200,0.666666666666667,22.4416558333517,"H",4,2,0
40056,1,2.99058000009973,"H",1,0,0
41502,0.5,41.8589324999994,"L",3,2,1
46859,0.833333333333333,21.7246833333338,"H",5,1,0
47314,0.666666666666667,26.0876666666667,"H",4,2,0
51611,0.833333333333333,22.5909274999999,"H",5,1,0
53319,0.666666666666667,24.6888516666562,"H",4,1,1
63674,0.166666666666667,32.4971599999893,"L",1,5,0
64352,0.5,16.6607975000079,"L",2,2,0
64951,0.666666666666667,61.6498333333334,"H",4,1,1
72644,1,43.5553658333471,"H",6,0,0
75222,0.833333333333333,83.0227908333327,"H",5,1,0
77875,0.6,502.021564,"L",3,2,0
79380,1,23.8663166666665,"H",6,0,0
92095,0.666666666666667,25.8914816666693,"H",4,1,1
95407,0.5,38.1614766666316,"L",3,3,0
98812,0.333333333333333,20.472529166674,"L",2,2,2
99065,0.666666666666667,40.8494783332571,"H",4,0,2
