"pid","ease","rdm_mean_acc","rdm_mean_rt"
3621,"easy",0.96875,1.47470093751326
3621,"hard",0.663157894736842,3.38922668419974
8189,"easy",0.791666666666667,1.12393432291667
8189,"hard",0.583333333333333,1.54437140625002
8460,"easy",0.875,1.80480312500185
8460,"hard",0.536842105263158,2.91613615789622
14553,"easy",0.895833333333333,1.2201445312506
14553,"hard",0.46875,1.92174114583304
15032,"easy",0.666666666666667,1.02491666666667
15032,"hard",0.510416666666667,1.23352083333333
22372,"easy",0.583333333333333,0.70922703124476
22372,"hard",0.416666666666667,0.859930208326356
27038,"easy",0.583333333333333,1.15068619791666
27038,"hard",0.526315789473684,1.44510473684213
27165,"easy",0.739583333333333,0.93022531249638
27165,"hard",0.446808510638298,1.5087331382959
27286,"easy",0.916666666666667,1.11663255208336
27286,"hard",0.5625,2.24956875000001
29197,"easy",0.947916666666667,0.89295833333332
29197,"hard",0.604166666666667,1.84148958333333
31619,"easy",0.885416666666667,1.41970484375997
31619,"hard",0.547368421052632,2.23014610526397
34733,"easy",0.872340425531915,1.57388058510557
34733,"hard",0.547368421052632,2.37779768420916
38200,"easy",0.708333333333333,2.01627192708717
38200,"hard",0.527472527472527,2.35199489011199
40056,"easy",0.65625,1.06035848958588
40056,"hard",0.479166666666667,1.21056578125475
41502,"easy",0.75,1.70299473958365
41502,"hard",0.479166666666667,1.73865828125024
46859,"easy",0.947916666666667,1.06182338541668
46859,"hard",0.520833333333333,1.6269979166667
47314,"easy",0.645833333333333,2.06386458333333
47314,"hard",0.526315789473684,2.69842105263158
51611,"easy",0.913978494623656,1.65275634408602
51611,"hard",0.46875,2.59380072916669
53319,"easy",0.65625,2.99335416666023
53319,"hard",0.526315789473684,3.75343510525938
63674,"easy",0.791666666666667,3.7703356770932
63674,"hard",0.537634408602151,5.53077102150588
64352,"easy",0.895833333333333,1.14762854166778
64352,"hard",0.583333333333333,1.78252119791493
64951,"easy",0.96875,2.23313541666665
64951,"hard",0.566666666666667,4.5097
72644,"easy",0.947368421052632,1.29807605263287
72644,"hard",0.597826086956522,2.61232380434597
75222,"easy",0.494736842105263,3.13282700000163
75222,"hard",0.602150537634409,4.00411586021383
77875,"easy",0.686046511627907,1.77674029069776
77875,"hard",0.506024096385542,2.0378904819279
79380,"easy",0.791666666666667,2.02009677083242
79380,"hard",0.463157894736842,2.4635281578941
92095,"easy",0.90625,0.90413734374855
92095,"hard",0.552083333333333,2.0554389583366
95407,"easy",0.770833333333333,2.15466057291875
95407,"hard",0.447916666666667,2.6345655729189
98812,"easy",0.875,1.25129265624855
98812,"hard",0.580645161290323,2.65157887096841
99065,"easy",0.635416666666667,1.00117427083508
99065,"hard",0.489583333333333,1.33958656250616
